line_id,line_name,line_type,start_stop,end_stop,start_time,end_time,basic_price,total_price,distance
320500011142,夜1路(公交一路新村首末站--苏州站北广场公交枢纽),普通公交,公交一路新村首末站,苏州站北广场公交枢纽,2130,0200,2,2,11.93156
320500011141,夜1路(苏州站北广场公交枢纽--公交一路新村),普通公交,苏州站北广场公交枢纽,公交一路新村,2230,0200,2,2,11.22171
320500011164,夜2路(独墅湖高教区首末站--苏州站北广场公交枢纽),普通公交,独墅湖高教区首末站,苏州站北广场公交枢纽,2330,0200,2,3,23.33167
320500011163,夜2路(苏州站北广场公交枢纽--独墅湖高教区首末站),普通公交,苏州站北广场公交枢纽,独墅湖高教区首末站,2130,0200,2,3,23.08667
320500011140,夜3路(灵岩山首末站--苏州站北广场公交枢纽),普通公交,灵岩山首末站,苏州站北广场公交枢纽,2330,0200,2,3,19.04698
320500011139,夜3路(苏州站北广场公交枢纽--木渎古镇严家花园),普通公交,苏州站北广场公交枢纽,木渎古镇严家花园,2130,0200,2,3,18.66275
320500011176,夜5路(苏州站北广场公交枢纽--复兴桥),普通公交,苏州站北广场公交枢纽,复兴桥,2030,0200,1,2,14.95842
320500011175,夜5路(复兴桥--苏州站北广场公交枢纽),普通公交,复兴桥,苏州站北广场公交枢纽,2130,0200,1,2,14.12074
320500010271,游1路(虎丘路--虎阜桥),旅游专线,虎丘路,虎阜桥,0515,2140,0,2,12.86621
320500010272,游1路北线(虎阜桥--虎丘路),旅游专线,虎阜桥,虎丘路,0515,2140,2,2,12.48506
320500010116,游4路(灵岩山首末站2--苏州站北广场公交枢纽),旅游专线,灵岩山首末站2,苏州站北广场公交枢纽,0530,2200,2,2,20.27501
320500010115,游4路(苏州站北广场公交枢纽--木渎古镇严家花园),旅游专线,苏州站北广场公交枢纽,木渎古镇严家花园,0500,2130,2,2,19.24847
900000141142,夜专1路(苏州站北广场公交枢纽--苏州站北广场公交枢纽),普通公交,苏州站北广场公交枢纽,苏州站北广场公交枢纽,2030,2400,0,0,7.81071
900000141144,夜专3路(轮船码头首末站--轮船码头首末站),普通公交,轮船码头首末站,轮船码头首末站,2030,2400,0,0,9.83734
320500010889,游4路长线(天平山--苏州站北广场公交枢纽),旅游专线,天平山,苏州站北广场公交枢纽,0840,1630,2,2,23.28991
320500010887,游4路长线(苏州站北广场公交枢纽--天平山),旅游专线,苏州站北广场公交枢纽,天平山,0720,1500,2,2,22.56756
